SchoolName,SchoolYear,School List,Type of School,Application Deadline,Application Fee,Fin Aid Deadline,Term,Months students begin,Months degrees conferred,# of Credit Hours for JD,SchoolType,AppDeadline,AppFee,FinancialAidDeadline,BeginningMonth,ConfersMonth,RequiredCreditHours
,2022,"AKRON, UNIVERSITY OF",Public,03/31/2023 and 11/30/2023,$0,03/31/2023 and 11/30/2023,Semester,"August, January, May","January, May",88,,,,,,,
,2022,"ALABAMA, UNIVERSITY OF",Public,,$40,,Semester,August,"May, August, December",90,,,,,,,
,2022,ALBANY LAW SCHOOL,Private,December 31 and August 1,$0,,Semester,"August, January","May, July, December",87,,,,,,,
,2022,AMERICAN UNIVERSITY,Private,3/1,$70,3/1,Semester,August,"May, August, December",86,,,,,,,
,2022,APPALACHIAN SCHOOL OF LAW,Private,"August 5, 2023",$0,"August 5, 2023",Semester,August and January,"May, September, December",92,,,,,,,
,2022,ARIZONA STATE UNIVERSITY,Public,3/1,$0,3/15/2023,Semester,"August, January","May, December, August",88,,,,,,,
,2022,"ARIZONA, UNIVERSITY OF",Public,"July 15, 2023",$0,"March 1, 2023",Semester,August and January,"May, August, and December",88,,,,,,,
,2022,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",Public,04/01/2023,$0,06/01/2023,Semester,August,December/May,90,,,,,,,
,2022,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",Public,April 1,$0,April 1,Semester,August,"May, August, December",90,,,,,,,
,2022,ATLANTA'S JOHN MARSHALL LAW SCHOOL,Private,"July 21, 2023",$0,"July 30, 2023",Semester,August,May and December,88,,,,,,,
,2022,AVE MARIA SCHOOL OF LAW,Private,April 15 (summer start) and June 15 (fall start),none,April 15 (summer start) and July 15 (fall start),Semester,May and August,"May, August, December, and January",90,,,,,,,
,2022,"BALTIMORE, UNIVERSITY OF",Public,08/01/2022,$60,04/01/2022,Semester,August,"January, May, September",87,,,,,,,
,2022,BARRY UNIVERSITY,Private,05/01/2023,$0,05/15/2023,Semester,August and January,"May, August, December",90,,,,,,,
,2022,BAYLOR UNIVERSITY,Private,11/10/2022; 03/15/2023,$0,03/01/2023,Quarter,"August, February, May","November, February, April or May, July or August",126,,,,,,,
,2022,BELMONT UNIVERSITY,Private,"May 1, 2023",$50,"August 1, 2023",Semester,August,May,88,,,,,,,
,2022,BOSTON COLLEGE,Private,3/31,$75.00,March 31,Semester,August,"May, August, December",85,,,,,,,
