SchoolName,SchoolYear,CompletedApplications,OffersAdmission,AcceptanceRate,EnrolleesFromApplicantPool,EnrollmentRateFromApp,EnrollmentRateFromOffers,OtherFirstYearEnrolles,TotalFYClassFT,TotalFYClassPT,TotalFYClassAll,ALL75LSAT,All50LSAT,All25LSAT,AllLSATExcl,FT75LSAT,FT50LSAT,FT25LSAT,FTLSATExcl,PT75LSAT,PT50LSAT,PT25LSAT,PTLSATExcl,All75GPA,All50GPA,All25GPA,AllGPAExcl,FT75GPA,FT50GPA,FT25GPA,FTGPAExcl,PT75GPA,PT50GPA,PT25GPA,PTGPAExcl,TotalMatriculants,FullTimeMatriculants,PartTimeMatriculants,ALL75VerbalGRE,ALL50VerbalGRE,ALL25VerbalGRE,FT75VerbalGRE,FT50VerbalGRE,FT25VerbalGRE,PT75VerbalGRE,PT50VerbalGRE,PT25VerbalGRE,ALL75QuantitativeGRE,ALL50QuantitativeGRE,ALL25QuantitativeGRE,FT75QuantitativeGRE,FT50QuantitativeGRE,FT25QuantitativeGRE,PT75QuantitativeGRE,PT50QuantitativeGRE,PT25QuantitativeGRE,ALL75AnalyticalGRE,ALL50AnalyticalGRE,ALL25AnalyticalGRE,FT75AnalyticalGRE,FT50AnalyticalGRE,FT25AnalyticalGRE,PT75AnalyticalGRE,PT50AnalyticalGRE,PT25AnalyticalGRE,Applications,Offers,Enrollees,EnrollAppRate,EnrollOfferRate,OtherFirstYearEnrollees,TotalEnrollees,FTEnrollees,PTEnrollees,All75thPercentileLSAT,FT75thPercentileLSAT,PT75thPercentileLSAT,All50thPercentileLSAT,FT50thPercentileLSAT,PT50thPercentileLSAT,All25thPercentileLSAT,FT25thPercentileLSAT,PT25thPercentileLSAT,AllNumberNotInLSAT,FTNumberNotInLSAT,PTNumberNotInLSAT,All75thPercentileUGPA,FT75thPercentileUGPA,PT75thPercentileUGPA,All50thPercentileUGPA,FT50thPercentileUGPA,PT50thPercentileUGPA,All25thPercentileUGPA,FT25thPercentileUGPA,PT25thPercentileUGPA,AllNumberNotInUGPA,FTNumberNotInUGPA,PTNumberNotInUGPA,GRETotalEnrollees,GREFTEnrollees,GREPTEnrollees,GREAll75thPercentileVerbal,GREFT75thPercentileVerbal,GREPT75thPercentileVerbal,GREAll50thPercentileVerbal,GREFT50thPercentileVerbal,GREPT50thPercentileVerbal,GREAll25thPercentileVerbal,GREFT25thPercentileVerbal,GREPT25thPercentileVerbal,GREAll75thPercentileQuant,GREFT75thPercentileQuant,GREPT75thPercentileQuant,GREAll50thPercentileQuant,GREFT50thPercentileQuant,GREPT50thPercentileQuant,GREAll25thPercentileQuant,GREFT25thPercentileQuant,GREPT25thPercentileQuant,GREAll75thPercentileAnalytical,GREFT75thPercentileAnalytical,GREPT75thPercentileAnalytical,GREAll50thPercentileAnalytical,GREFT50thPercentileAnalytical,GREPT50thPercentileAnalytical,GREAll25thPercentileAnalytical,GREFT25thPercentileAnalytical,GREPT25thPercentileAnalytical,AllNumberInUGPA,FTNumberInUGPA,PTNumberInUGPA,LSATTotalEnrollees,LSATFTEnrollees,LSATPTEnrollees,JDNEXTTotalEnrollees,JDNEXTFTEnrollees,JDNEXTPTEnrollees,All75thPercentileJDNEXT,FT75thPercentileJDNEXT,PT75thPercentileJDNEXT,All50thPercentileJDNEXT,FT50thPercentileJDNEXT,PT50thPercentileJDNEXT,All25thPercentileJDNEXT,FT25thPercentileJDNEXT,PT25thPercentileJDNEXT,AllNumberExclfrGPA,FTNumberExclfrGPA,PTNumberExclfrGPA
"AKRON, UNIVERSITY OF",2022,614.0,386.0,62.87,125.0,20.36,32.38,12.0,107.0,30.0,137.0,155.0,153.0,151.0,9.0,156.0,153.0,151.0,8.0,154.0,152.0,151.0,1.0,3.68,3.45,3.02,7.0,3.72,3.49,3.14,2.0,3.54,3.25,2.93,5.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALABAMA, UNIVERSITY OF",2022,1738.0,448.0,25.78,147.0,8.46,32.81,2.0,149.0,0.0,149.0,168.0,166.0,159.0,7.0,168.0,166.0,159.0,7.0,0.0,0.0,0.0,0.0,4.02,3.95,3.64,0.0,4.02,3.95,3.64,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY LAW SCHOOL,2022,1312.0,658.0,50.15,192.0,14.63,29.18,7.0,199.0,0.0,199.0,158.0,155.0,153.0,7.0,158.0,155.0,153.0,7.0,0.0,0.0,0.0,0.0,3.7,3.48,3.21,2.0,3.7,3.48,3.21,2.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,161.0,156.0,152.0,161.0,156.0,152.0,0.0,0.0,0.0,161.0,151.0,146.0,161.0,151.0,146.0,0.0,0.0,0.0,4.5,4.5,4.0,4.5,4.5,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN UNIVERSITY,2022,5559.0,1877.0,33.77,393.0,7.07,20.94,3.0,349.0,47.0,396.0,163.0,162.0,156.0,6.0,163.0,162.0,156.0,5.0,164.0,161.0,155.0,1.0,3.73,3.61,3.3,6.0,3.73,3.61,3.29,4.0,3.72,3.61,3.37,2.0,11.0,8.0,3.0,166.0,162.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,157.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPALACHIAN SCHOOL OF LAW,2022,567.0,275.0,48.5,51.0,8.99,18.55,5.0,56.0,0.0,56.0,149.0,146.0,144.0,0.0,149.0,146.0,144.0,0.0,0.0,0.0,0.0,0.0,3.51,3.21,2.79,1.0,3.51,3.21,2.79,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZONA STATE UNIVERSITY,2022,5546.0,1090.0,19.65,286.0,5.16,26.24,2.0,288.0,0.0,288.0,168.0,167.0,158.0,7.0,168.0,167.0,158.0,7.0,0.0,0.0,0.0,0.0,3.94,3.85,3.42,4.0,3.94,3.85,3.42,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARIZONA, UNIVERSITY OF",2022,1749.0,436.0,24.93,123.0,7.03,28.21,1.0,124.0,0.0,124.0,164.0,163.0,158.0,11.0,164.0,163.0,158.0,11.0,0.0,0.0,0.0,0.0,3.88,3.76,3.48,1.0,3.88,3.76,3.48,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,160.0,157.0,152.0,160.0,157.0,152.0,0.0,0.0,0.0,157.0,155.0,146.0,157.0,155.0,146.0,0.0,0.0,0.0,5.0,4.5,4.0,5.0,4.5,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2022,770.0,317.0,41.17,120.0,15.58,37.85,2.0,122.0,0.0,122.0,158.0,156.0,153.0,0.0,158.0,156.0,153.0,0.0,0.0,0.0,0.0,0.0,3.87,3.6,3.34,0.0,3.87,3.6,3.34,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2022,663.0,370.0,55.81,136.0,20.51,36.76,8.0,108.0,35.0,143.0,155.0,152.0,149.0,0.0,156.0,152.0,150.0,0.0,153.0,150.0,148.0,0.0,3.69,3.41,2.98,2.0,3.71,3.46,3.04,2.0,3.6,3.28,2.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA'S JOHN MARSHALL LAW SCHOOL,2022,1022.0,468.0,45.79,129.0,12.62,27.56,3.0,94.0,37.0,131.0,153.0,151.0,148.0,0.0,153.0,151.0,148.0,0.0,152.0,150.0,148.0,0.0,3.54,3.14,2.75,6.0,3.49,3.14,2.75,3.0,3.55,3.07,2.75,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVE MARIA SCHOOL OF LAW,2022,789.0,345.0,43.73,95.0,12.04,27.54,4.0,99.0,0.0,99.0,155.0,152.0,149.0,0.0,155.0,152.0,149.0,0.0,0.0,0.0,0.0,0.0,3.67,3.3,2.94,2.0,3.67,3.3,2.94,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BALTIMORE, UNIVERSITY OF",2022,1144.0,647.0,56.56,225.0,19.67,34.78,9.0,176.0,53.0,229.0,157.0,154.0,151.0,7.0,157.0,154.0,151.0,3.0,156.0,153.0,150.0,4.0,3.6,3.42,3.01,6.0,3.62,3.44,3.07,4.0,3.56,3.23,2.91,2.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRY UNIVERSITY,2022,1351.0,727.0,53.81,266.0,19.69,36.59,2.0,239.0,28.0,267.0,152.0,149.0,147.0,0.0,152.0,149.0,147.0,0.0,153.0,150.0,148.0,0.0,3.5,3.23,2.89,2.0,3.51,3.24,2.89,2.0,3.46,3.2,2.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYLOR UNIVERSITY,2022,3029.0,723.0,23.87,127.0,4.19,17.57,6.0,127.0,0.0,127.0,164.0,163.0,159.0,0.0,164.0,163.0,159.0,0.0,0.0,0.0,0.0,0.0,3.85,3.72,3.48,1.0,3.85,3.72,3.48,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELMONT UNIVERSITY,2022,1187.0,470.0,39.6,124.0,10.45,26.38,0.0,124.0,0.0,124.0,162.0,160.0,156.0,3.0,162.0,160.0,156.0,3.0,0.0,0.0,0.0,0.0,3.88,3.7,3.47,0.0,3.88,3.7,3.47,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
