SchoolName,SchoolYear,Total # total  students #,Total # total of Students %,Total # of students FT #,Total # of students FT %,Total # of students PT #,Total # of students PT %,Total  # receiving grants total #,Total # receiving grants total %,Total # receiving grants FT #,Total # receiving grants FT %,Total # receiving grants PT #,Total # receiving grants PT %,Less than half tuition total #,Less than half tuition total %,Less than half tuition FT #,Less than half tuition FT %,Less than half tuition PT #,Less than half tuition PT %,Half to full tuition total #,Half to full tuition total %,half to full tuition FT #,half to full tuition FT %,half to full tuition PT #,half to full tuition PT %,Full tuition total #,Full tuition total %,Full tuition FT #,Full tuition FT %,Full tuition PT #,Full tuition PT %,More than full tuition total #,More than full tuition total %,More than full tuition FT #,More than full tuition FT %,More than full tuition PT #,More than full tuition PT %,FT 75th percentile grant amount,FT 50th percentile grant amount,FT 25th percentile grant amount,PT 75th percentile grant amount,PT 50th percentile grant amount,PT 25th percentile grant amount,Total Number # of Students Total #,Total Percentage # of Students Total %,Total Number # of Students FT #,Total Percentage # of Students FT %,Total Number # of Students PT #,Total Percentage # of Students PT %,Total Number # of Recieving Grants Total #,Total Percentage # of Recieving Grants Total %,Total Number # of Recieving Grants FT #,Total Percentage # of Recieving Grants FT %,Total Number # of Recieving Grants PT #,Total Percentage # of Recieving Grants PT %,Less than half tuition Total Number #,Less than half tuition Total Percentage %,Less than half tuition FT Number #,Less than half tuition FT Percentage %,Less than half tuition PT Number #,Less than half tuition PT Percentage %,Half to full tuition total Number #,Half to full tuition total Percentage %,Half to full tuition FT Number #,Half to full tuition FT Percentage %,Half to full tuition PT Number #,Half to full tuition PT Percentage %,Full tuition total Number #,Full tuition total Percentage %,Full tuition FT Number #,Full tuition FT Percentage %,Full tuition PT Number #,Full tuition PT Percentage %,More than full tuition total Number #,More than full tuition total Percentage %,More than full tuition FT Number #,More than full tuition FT Percentage %,More than full tuition PT Number #,More than full tuition PT Percentage %
"AKRON, UNIVERSITY OF",2022,455.0,100.0,335.0,74.0,120.0,26.0,386.0,85.0,316.0,94.0,70.0,58.0,223.0,49.0,185.0,55.0,38.0,32.0,153.0,34.0,122.0,36.0,31.0,26.0,7.0,2.0,6.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,"18,000","10,750","5,000","11,000","6,415","3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALABAMA, UNIVERSITY OF",2022,412.0,100.0,412.0,100.0,0.0,0.0,370.0,90.0,370.0,90.0,0.0,0.0,93.0,23.0,93.0,23.0,0.0,0.0,173.0,42.0,173.0,42.0,0.0,0.0,8.0,2.0,8.0,2.0,0.0,0.0,96.0,23.0,96.0,23.0,0.0,0.0,"33,000","23,000","12,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY LAW SCHOOL,2022,575.0,100.0,575.0,100.0,0.0,0.0,540.0,94.0,540.0,94.0,0.0,0.0,235.0,41.0,235.0,41.0,0.0,0.0,243.0,42.0,243.0,42.0,0.0,0.0,51.0,9.0,51.0,9.0,0.0,0.0,11.0,2.0,11.0,2.0,0.0,0.0,"45,000","34,000","20,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN UNIVERSITY,2022,1113.0,100.0,911.0,82.0,202.0,18.0,859.0,77.0,717.0,79.0,142.0,70.0,175.0,16.0,162.0,18.0,13.0,6.0,552.0,50.0,442.0,49.0,110.0,54.0,131.0,12.0,112.0,12.0,19.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,"40,000","40,000","30,000","32,000","30,000","30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPALACHIAN SCHOOL OF LAW,2022,161.0,100.0,161.0,100.0,0.0,0.0,127.0,79.0,127.0,79.0,0.0,0.0,39.0,24.0,39.0,24.0,0.0,0.0,29.0,18.0,29.0,18.0,0.0,0.0,5.0,3.0,5.0,3.0,0.0,0.0,54.0,34.0,54.0,34.0,0.0,0.0,"42,567","19,922","7,413",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIZONA STATE UNIVERSITY,2022,853.0,100.0,853.0,100.0,0.0,0.0,800.0,94.0,800.0,94.0,0.0,0.0,360.0,42.0,360.0,42.0,0.0,0.0,325.0,38.0,325.0,38.0,0.0,0.0,63.0,7.0,63.0,7.0,0.0,0.0,52.0,6.0,52.0,6.0,0.0,0.0,"28,332","16,000","5,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARIZONA, UNIVERSITY OF",2022,396.0,100.0,396.0,100.0,0.0,0.0,368.0,93.0,368.0,93.0,0.0,0.0,35.0,9.0,35.0,9.0,0.0,0.0,131.0,33.0,131.0,33.0,0.0,0.0,58.0,15.0,58.0,15.0,0.0,0.0,144.0,36.0,144.0,36.0,0.0,0.0,"29,000","23,025","12,250",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2022,355.0,100.0,355.0,100.0,0.0,0.0,245.0,69.0,242.0,68.0,3.0,0.0,127.0,36.0,125.0,35.0,2.0,0.0,105.0,30.0,105.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,12.0,3.0,1.0,0.0,"12,350","9,000","3,625","10,150","2,450","1,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2022,479.0,100.0,382.0,80.0,97.0,20.0,301.0,63.0,243.0,64.0,58.0,60.0,161.0,34.0,121.0,32.0,40.0,41.0,136.0,28.0,118.0,31.0,18.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,"13,351","6,898","3,950","6,643","4,019","2,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA'S JOHN MARSHALL LAW SCHOOL,2022,302.0,100.0,192.0,64.0,110.0,36.0,248.0,82.0,176.0,92.0,72.0,65.0,116.0,38.0,74.0,39.0,42.0,38.0,131.0,43.0,102.0,53.0,29.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"27,000","18,000","4,000","15,150","6,000","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
