SchoolName,SchoolYear,School List,JD1 Transfers Out,Transfer In,75th Percentile JD1 GPA,GPA50thPercentile,GPA25thPercentile,TransferIn,50th Percentile JD1 GPA,25th Percentile JD1 GPA
,2022,"AKRON, UNIVERSITY OF",1,3.0,0.0,0.0,0.0,,,
,2022,"ALABAMA, UNIVERSITY OF",0,3.0,0.0,0.0,0.0,,,
,2022,ALBANY LAW SCHOOL,4,2.0,0.0,0.0,0.0,,,
,2022,AMERICAN UNIVERSITY,31,14.0,3.55,3.16,2.91,,,
,2022,APPALACHIAN SCHOOL OF LAW,6,0.0,0.0,0.0,0.0,,,
,2022,ARIZONA STATE UNIVERSITY,12,39.0,3.53,3.41,3.09,,,
,2022,"ARIZONA, UNIVERSITY OF",10,2.0,0.0,0.0,0.0,,,
,2022,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2,1.0,0.0,0.0,0.0,,,
,2022,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",0,0.0,0.0,0.0,0.0,,,
,2022,ATLANTA'S JOHN MARSHALL LAW SCHOOL,0,2.0,0.0,0.0,0.0,,,
,2022,AVE MARIA SCHOOL OF LAW,8,2.0,0.0,0.0,0.0,,,
,2022,"BALTIMORE, UNIVERSITY OF",22,7.0,0.0,2.85,0.0,,,
,2022,BARRY UNIVERSITY,15,4.0,0.0,0.0,0.0,,,
,2022,BAYLOR UNIVERSITY,0,0.0,0.0,0.0,0.0,,,
,2022,BELMONT UNIVERSITY,2,0.0,0.0,0.0,0.0,,,
,2022,BOSTON COLLEGE,7,0.0,0.0,0.0,0.0,,,
,2022,BOSTON UNIVERSITY,15,4.0,0.0,0.0,0.0,,,
,2022,BRIGHAM YOUNG UNIVERSITY,0,3.0,0.0,0.0,0.0,,,
,2022,BROOKLYN LAW SCHOOL,15,11.0,0.0,3.12,0.0,,,
,2022,CALIFORNIA WESTERN SCHOOL OF LAW,9,1.0,0.0,0.0,0.0,,,
