SchoolName,SchoolYear,school list,Full Time Resident Semester,FTRS Annual Fees,Full Time Non resident Semester,FTNRS Annual Fees,Part Time Resident Semester,PTRS Annual Fees,Part Time Non resident Semester,PTNRS Annual Fees,Full Time Resident Credit,FTRSPerCredit Annual Fees,Full Time Non resident Credit,FTNRSPerCredit Annual Fees,Part Time Resident Credit,PTRSPerCredit Annual Fees,Part Time Non resident Credit,PTNRSPerCredit Annual Fees,Other Semester,Other Semester Annual Fees,Other Credit,Other Per Credit Annual Fees,Tuition Guarantee Program,Living On Campus,Living Off Campus,Living At Home,19-20 Entering scholarships,19-20 Reduced/Eliminated Scholarships,18-19 Entering scholarships,18-19 Reduced/Eliminated Scholarships,17-18 Entering scholarships,17-18 Reduced/Eliminated Scholarships,FT_Resident_Semester,FTRS_AnnualFees,FT_NonResident_Semester,FTNRS_AnnualFees,PT_Resident_Semester,PTRS_AnnualFees,PT_NonResident_Semester,PTNRS_AnnualFees,FT_Resident_Credit,FTRS_PerCredit_AnnualFees,FT_NonResident_Credit,FTRS_PerCredit_AnnualFees1,PT_Resident_Credit,PTRS_PerCredit_AnnualFees,PT_NonResident_Credit,PTNRS_PerCredit_AnnualFees,Others_Semesters,Others_Semesters_AnnualFees,Others_Credit,Others_PerCredit_AnnualFees,Tuition_Guarantee_Program,Living_On_Campus,Living_Off_Campus,Living_At_Home,OfferScholorships,EnteringScholarships_22_23,ReducedScholarships_22_23,EnteringScholarships_21_22,ReducedScholarships_21_22,EnteringScholarships_20_21,ReducedScholarships_20_21,EnteringScholarships_23_24,ReducedScholarships_23_24,FT_Resident_Annual,FT_NonResident_Annual,PT_Resident_Annual,PT_NonResident_Annual,Others_Annual,Others_Annual_AnnualFees,Living_At_Military,EnteringScholarships_24_25,ReducedScholarships_24_25
,2022,"AKRON, UNIVERSITY OF","21,376","3,738","21,376","3,838","14,251","2,875","14,251","2,975",712,"3,738",712,"3,838",712,"2,875",712,"2,975",0,0,0,0,No,"22,404","22,404","7,038",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ALABAMA, UNIVERSITY OF","24,080",310,"44,470",310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"19,764","19,764","19,764",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,ALBANY LAW SCHOOL,"55,280",190,"55,280",190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,442",190,No,0,"18,454","9,688",74.0,14.0,73.0,16.0,67.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,AMERICAN UNIVERSITY,"59,842","1,152","59,842","1,152",0,0,0,0,0,0,0,0,"2,216",512,"2,216",512,0,0,0,0,No,"25,238","25,238","25,238",0.0,0.0,6.0,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,APPALACHIAN SCHOOL OF LAW,"41,000",0,"41,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,"23,800","23,800",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,ARIZONA STATE UNIVERSITY,"27,464",900,"47,670",900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"23,254","23,254","23,254",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ARIZONA, UNIVERSITY OF","24,500","1,667","29,000","1,667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"22,550","22,550","9,550",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",0,0,0,0,0,0,0,0,507,"2,286","1,221","2,286",0,0,0,0,0,0,0,0,No,"18,644","18,644","18,644",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",0,0,0,0,0,0,0,0,445,"3,367",977,"3,367",445,"2,763",977,"2,763",0,0,0,0,No,"16,868","19,030","9,061",83.0,27.0,89.0,80.0,89.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,ATLANTA'S JOHN MARSHALL LAW SCHOOL,"48,578","1,000","48,578","1,000","29,398","1,000","29,398","1,000",0,0,0,0,0,0,0,0,0,0,0,0,No,"32,950","32,950","32,950",129.0,37.0,137.0,56.0,66.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,AVE MARIA SCHOOL OF LAW,"44,000","3,256","44,000","3,256",0,0,0,0,0,0,0,0,"4,400","3,256","4,400","3,256",0,0,0,0,Yes,"45,822","45,822","45,822",105.0,42.0,104.0,40.0,109.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"BALTIMORE, UNIVERSITY OF","31,986","2,234","47,706","2,234","23,832","1,694","33,588","1,694",0,0,0,0,"1,324","1,694","1,866","1,694",0,0,0,0,No,"25,280","25,280","25,280",156.0,43.0,145.0,38.0,112.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,BARRY UNIVERSITY,"39,900","1,150","39,900","1,150","30,140","1,100","30,140","1,100",0,0,0,0,0,0,0,0,0,0,"1,425",35,No,0,"28,100","28,100",315.0,152.0,276.0,117.0,238.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,BAYLOR UNIVERSITY,0,0,0,0,0,0,0,0,"1,471",95,"1,471",95,"1,471",0,"1,471",0,0,0,0,0,No,"23,024","25,406","13,358",174.0,17.0,135.0,25.0,128.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,BELMONT UNIVERSITY,"50,500","1,940","50,500","1,940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"24,210","24,210","24,210",48.0,12.0,45.0,14.0,34.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,BOSTON COLLEGE,"63,130",443,"63,130",443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,"20,760","20,760",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,BOSTON UNIVERSITY,"61,160","1,374","61,160","1,374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"20,892","20,892","14,515",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,BRIGHAM YOUNG UNIVERSITY,"14,636",0,"29,272",0,0,0,0,0,861,0,"1,722",0,0,0,0,0,0,0,0,0,No,"14,424","14,424","2,352",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,BROOKLYN LAW SCHOOL,"67,850",471,"67,850",471,"50,895",471,"50,895",471,0,0,0,0,0,0,0,0,0,0,0,0,Yes,"26,950","26,950","10,750",390.0,73.0,394.0,74.0,365.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CALIFORNIA WESTERN SCHOOL OF LAW,"58,200",150,"58,200",150,"43,400",150,"43,400",150,0,0,0,0,0,0,0,0,0,0,"2,640",0,No,0,"29,320","14,600",161.0,107.0,159.0,111.0,181.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"CALIFORNIA-BERKELEY, UNIVERSITY OF","56,500","2,806","65,010","2,806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"38,132","38,132","38,132",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"CALIFORNIA-DAVIS, UNIVERSITY OF","50,914","2,172","62,915","2,172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"27,898","27,898","27,898",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"CALIFORNIA-IRVINE, UNIVERSITY OF","52,158","2,025","62,273","2,025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"22,316","30,937","22,723",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"CALIFORNIA-LOS ANGELES, UNIVERSITY OF","51,388","2,522","61,895","2,522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"33,066","33,066","21,839",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CAMPBELL UNIVERSITY,"47,440",840,"47,440",840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,"30,970","17,520",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CAPITAL UNIVERSITY,"41,035",350,"41,035",350,"36,790",240,"36,790",240,"1,415",350,"1,415",350,"1,415",240,"1,415",240,0,0,0,0,No,"19,080","19,080","19,080",184.0,56.0,165.0,39.0,158.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CARDOZO SCHOOL OF LAW,"67,792",670,"67,792",670,"67,792",670,"67,792",670,0,0,0,0,0,0,0,0,0,0,"3,023",0,No,"30,709","30,709","30,709",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CASE WESTERN RESERVE UNIVERSITY,"58,500",308,"58,500",308,0,0,0,0,"2,440",308,"2,440",308,0,0,0,0,0,0,0,0,No,"28,388","28,388",0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CATHOLIC UNIVERSITY OF AMERICA,"55,820","1,650","55,820","1,650",0,0,0,0,0,0,0,0,"1,925","1,240","1,925","1,240",0,0,0,0,No,"24,923","30,260","14,786",54.0,16.0,33.0,12.0,39.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CHAPMAN UNIVERSITY,"59,500",68,"59,500",68,"47,520",68,"47,520",68,0,0,0,0,0,0,0,0,0,0,0,0,No,"33,572","33,572","24,212",112.0,45.0,112.0,47.0,120.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CHARLESTON SCHOOL OF LAW,"43,700","1,034","43,700","1,034","35,100","1,034","35,100","1,034",0,0,0,0,0,0,0,0,0,0,0,0,No,0,"24,832","24,832",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"CHICAGO, UNIVERSITY OF","73,185","1,422","73,185","1,422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"29,670","29,670","29,670",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,CHICAGO-KENT COLLEGE OF LAW-IIT,"51,900",270,"51,900",270,"38,060",270,"38,060",270,"1,730",270,"1,730",270,"1,730",270,"1,730",270,0,0,0,0,Yes,"18,419","25,105","25,105",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"CINCINNATI, UNIVERSITY OF","24,010",800,"29,010",800,0,0,0,0,0,0,0,0,0,0,0,0,"24,610",0,0,0,No,"18,068","18,068","18,068",0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
