School Name,SchoolYear,Graduate Year,No. of Graduates,No. of Takers,No. of Passers,%Passers,No. of Graduates with no information,No. of Graduates who did not take the bar,No. of Graduates with Alternative Pathways*,Pass % (including Alternative Pathways),2020 Graduates,2020 Takers,2020 Passers,2020 Graduates with no information,2020 Graduates who did not take the bar,2020 Graduates with Diploma Privilege*,Pass % (including Diploma Privilege),2021 Graduates,2021 Takers,2021 Passers,2021 Graduates with no information,2021 Graduates who did not take the bar,2021 Graduates with Alternative Pathways*,2022 Graduates,2022 Takers,2022 Passers,2022 Graduates with no information,2022 Graduates who did not take the bar,2022 Graduates with Alternative Pathways*
"AKRON, UNIVERSITY OF",2022,2019.0,129.0,119.0,101.0,84.87%,0.0,10.0,0.0,84.87%,,,,,,,,,,,,,,,,,,,
"ALABAMA, UNIVERSITY OF",2022,2019.0,131.0,127.0,126.0,99.21%,0.0,4.0,0.0,99.21%,,,,,,,,,,,,,,,,,,,
ALBANY LAW SCHOOL,2022,2019.0,139.0,136.0,117.0,86.03%,3.0,3.0,,86.03%,,,,,,,,,,,,,,,,,,,
AMERICAN UNIVERSITY,2022,2019.0,400.0,378.0,342.0,90.48%,20.0,2.0,0.0,90.48%,,,,,,,,,,,,,,,,,,,
APPALACHIAN SCHOOL OF LAW,2022,2019.0,47.0,45.0,33.0,73.33%,0.0,2.0,0.0,73.33%,,,,,,,,,,,,,,,,,,,
ARIZONA STATE UNIVERSITY,2022,2019.0,278.0,270.0,256.0,94.81%,2.0,6.0,0.0,94.81%,,,,,,,,,,,,,,,,,,,
"ARIZONA, UNIVERSITY OF",2022,2019.0,119.0,111.0,103.0,92.79%,0.0,8.0,0.0,92.79%,,,,,,,,,,,,,,,,,,,
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2022,2019.0,105.0,100.0,90.0,90.00%,0.0,5.0,0.0,90.00%,,,,,,,,,,,,,,,,,,,
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2022,2019.0,121.0,115.0,98.0,85.22%,0.0,6.0,0.0,85.22%,,,,,,,,,,,,,,,,,,,
ATLANTA'S JOHN MARSHALL LAW SCHOOL,2022,2019.0,143.0,137.0,112.0,81.75%,1.0,5.0,0.0,81.75%,,,,,,,,,,,,,,,,,,,
AVE MARIA SCHOOL OF LAW,2022,2019.0,64.0,61.0,41.0,67.21%,0.0,3.0,0.0,67.21%,,,,,,,,,,,,,,,,,,,
"BALTIMORE, UNIVERSITY OF",2022,2019.0,194.0,183.0,155.0,84.70%,6.0,5.0,0.0,84.70%,,,,,,,,,,,,,,,,,,,
BARRY UNIVERSITY,2022,2019.0,174.0,162.0,132.0,81.48%,3.0,9.0,0.0,81.48%,,,,,,,,,,,,,,,,,,,
BAYLOR UNIVERSITY,2022,2019.0,141.0,141.0,140.0,99.29%,0.0,0.0,0.0,99.29%,,,,,,,,,,,,,,,,,,,
BELMONT UNIVERSITY,2022,2019.0,84.0,84.0,84.0,100.00%,0.0,0.0,0.0,100.00%,,,,,,,,,,,,,,,,,,,
BOSTON COLLEGE,2022,2019.0,250.0,250.0,243.0,97.20%,0.0,1.0,0.0,97.20%,,,,,,,,,,,,,,,,,,,
BOSTON UNIVERSITY,2022,2019.0,254.0,251.0,245.0,97.61%,,3.0,,97.61%,,,,,,,,,,,,,,,,,,,
BRIGHAM YOUNG UNIVERSITY,2022,2019.0,137.0,129.0,123.0,95.35%,0.0,7.0,1.0,95.38%,,,,,,,,,,,,,,,,,,,
BROOKLYN LAW SCHOOL,2022,2019.0,328.0,319.0,296.0,92.79%,1.0,8.0,1.0,92.81%,,,,,,,,,,,,,,,,,,,
CALIFORNIA WESTERN SCHOOL OF LAW,2022,2019.0,216.0,212.0,166.0,78.30%,0.0,4.0,0.0,78.30%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-BERKELEY, UNIVERSITY OF",2022,2019.0,330.0,323.0,322.0,99.69%,6.0,6.0,1.0,99.69%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-DAVIS, UNIVERSITY OF",2022,2019.0,155.0,148.0,139.0,93.92%,3.0,4.0,0.0,93.92%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-IRVINE, UNIVERSITY OF",2022,2019.0,143.0,140.0,137.0,97.86%,0.0,3.0,0.0,97.86%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",2022,2019.0,316.0,313.0,307.0,98.08%,1.0,2.0,1.0,98.09%,,,,,,,,,,,,,,,,,,,
CAMPBELL UNIVERSITY,2022,2019.0,112.0,107.0,105.0,98.13%,0.0,5.0,0.0,98.13%,,,,,,,,,,,,,,,,,,,
CAPITAL UNIVERSITY,2022,2019.0,100.0,96.0,87.0,90.63%,1.0,3.0,0.0,90.63%,,,,,,,,,,,,,,,,,,,
CARDOZO SCHOOL OF LAW,2022,2019.0,282.0,278.0,267.0,96.04%,1.0,3.0,0.0,96.04%,,,,,,,,,,,,,,,,,,,
CASE WESTERN RESERVE UNIVERSITY,2022,2019.0,143.0,135.0,126.0,93.33%,0.0,8.0,0.0,93.33%,,,,,,,,,,,,,,,,,,,
CATHOLIC UNIVERSITY OF AMERICA,2022,2019.0,104.0,98.0,89.0,90.82%,2.0,4.0,2.0,91.00%,,,,,,,,,,,,,,,,,,,
CHAPMAN UNIVERSITY,2022,2019.0,165.0,165.0,145.0,87.88%,0.0,0.0,0.0,87.88%,,,,,,,,,,,,,,,,,,,
CHARLESTON SCHOOL OF LAW,2022,2019.0,186.0,181.0,150.0,82.87%,1.0,4.0,0.0,82.87%,,,,,,,,,,,,,,,,,,,
"CHICAGO, UNIVERSITY OF",2022,2019.0,203.0,198.0,197.0,99.49%,0.0,5.0,0.0,99.49%,,,,,,,,,,,,,,,,,,,
CHICAGO-KENT COLLEGE OF LAW-IIT,2022,2019.0,235.0,218.0,197.0,90.37%,16.0,1.0,0.0,90.37%,,,,,,,,,,,,,,,,,,,
"CINCINNATI, UNIVERSITY OF",2022,2019.0,118.0,114.0,101.0,88.60%,0.0,4.0,0.0,88.60%,,,,,,,,,,,,,,,,,,,
CITY UNIVERSITY OF NEW YORK,2022,2019.0,168.0,163.0,153.0,93.87%,0.0,5.0,0.0,93.87%,,,,,,,,,,,,,,,,,,,
CLEVELAND STATE UNIVERSITY,2022,2019.0,90.0,85.0,78.0,91.76%,0.0,5.0,0.0,91.76%,,,,,,,,,,,,,,,,,,,
"COLORADO, UNIVERSITY OF",2022,2019.0,154.0,148.0,142.0,95.95%,0.0,6.0,4.0,96.05%,,,,,,,,,,,,,,,,,,,
COLUMBIA UNIVERSITY,2022,2019.0,433.0,430.0,411.0,95.58%,0.0,3.0,0.0,95.58%,,,,,,,,,,,,,,,,,,,
"CONNECTICUT, UNIVERSITY OF",2022,2019.0,105.0,102.0,95.0,93.14%,0.0,3.0,0.0,93.14%,,,,,,,,,,,,,,,,,,,
CORNELL UNIVERSITY,2022,2019.0,194.0,193.0,189.0,97.93%,0.0,1.0,0.0,97.93%,,,,,,,,,,,,,,,,,,,
CREIGHTON UNIVERSITY,2022,2019.0,88.0,81.0,70.0,86.42%,1.0,6.0,0.0,86.42%,,,,,,,,,,,,,,,,,,,
"DAYTON, UNIVERSITY OF",2022,2019.0,85.0,84.0,79.0,94.05%,0.0,1.0,0.0,94.05%,,,,,,,,,,,,,,,,,,,
"DENVER, UNIVERSITY OF",2022,2019.0,244.0,240.0,223.0,92.92%,1.0,3.0,0.0,92.92%,,,,,,,,,,,,,,,,,,,
DEPAUL UNIVERSITY,2022,2019.0,212.0,203.0,165.0,81.28%,9.0,0.0,0.0,81.28%,,,,,,,,,,,,,,,,,,,
"DETROIT MERCY, UNIVERSITY OF",2022,2019.0,176.0,100.0,83.0,83.00%,0.0,76.0,0.0,83.00%,,,,,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2022,2019.0,66.0,57.0,38.0,66.67%,,9.0,1.0,67.24%,,,,,,,,,,,,,,,,,,,
DRAKE UNIVERSITY,2022,2019.0,100.0,99.0,89.0,89.90%,0.0,1.0,0.0,89.90%,,,,,,,,,,,,,,,,,,,
DREXEL UNIVERSITY,2022,2019.0,131.0,128.0,113.0,88.28%,1.0,2.0,,88.28%,,,,,,,,,,,,,,,,,,,
DUKE UNIVERSITY,2022,2019.0,225.0,217.0,216.0,99.54%,2.0,6.0,0.0,99.54%,,,,,,,,,,,,,,,,,,,
DUQUESNE UNIVERSITY,2022,2019.0,108.0,104.0,96.0,92.31%,4.0,0.0,0.0,92.31%,,,,,,,,,,,,,,,,,,,
ELON UNIVERSITY,2022,2019.0,109.0,104.0,92.0,88.46%,0.0,5.0,0.0,88.46%,,,,,,,,,,,,,,,,,,,
EMORY UNIVERSITY,2022,2019.0,306.0,286.0,248.0,86.71%,3.0,17.0,0.0,86.71%,,,,,,,,,,,,,,,,,,,
FAULKNER UNIVERSITY,2022,2019.0,62.0,59.0,51.0,86.44%,0.0,3.0,0.0,86.44%,,,,,,,,,,,,,,,,,,,
FLORIDA A&M UNIVERSITY,2022,2019.0,143.0,128.0,101.0,78.91%,6.0,9.0,0.0,78.91%,,,,,,,,,,,,,,,,,,,
FLORIDA INTERNATIONAL UNIVERSITY,2022,2019.0,144.0,141.0,137.0,97.16%,0.0,3.0,0.0,97.16%,,,,,,,,,,,,,,,,,,,
FLORIDA STATE UNIVERSITY,2022,2019.0,176.0,170.0,163.0,95.88%,3.0,3.0,0.0,95.88%,,,,,,,,,,,,,,,,,,,
"FLORIDA, UNIVERSITY OF",2022,2019.0,329.0,323.0,316.0,97.83%,0.0,6.0,0.0,97.83%,,,,,,,,,,,,,,,,,,,
FORDHAM UNIVERSITY,2022,2019.0,382.0,365.0,353.0,96.71%,0.0,17.0,0.0,96.71%,,,,,,,,,,,,,,,,,,,
GEORGE MASON UNIVERSITY,2022,2019.0,164.0,156.0,155.0,99.36%,1.0,7.0,0.0,99.36%,,,,,,,,,,,,,,,,,,,
GEORGE WASHINGTON UNIVERSITY,2022,2019.0,502.0,485.0,463.0,95.46%,14.0,6.0,0.0,95.46%,,,,,,,,,,,,,,,,,,,
GEORGETOWN UNIVERSITY,2022,2019.0,668.0,644.0,621.0,96.43%,15.0,9.0,0.0,96.43%,,,,,,,,,,,,,,,,,,,
