SchoolName,SchoolYear,School List,OtherHispJD1Total,OtherHispMenJD1,OtherHispWomenJD1,OtherHispAGIJD1,OtherHispPNRJD1,AmericanIndianJD1Total,AmericanIndianMenJD1,AmericanIndianWomenJD1,AmericanIndianAGIJD1,AmericanIndianPNRJD1,AsianJD1Total,AsianMenJD1,AsianWomenJD1,AsianAGIJD1,AsianPNRJD1,BlackJD1Total,BlackMenJD1,BlackWomenJD1,BlackAGIJD1,BlackPNRJD1,NativeJD1Total,NativeMenJD1,NativeWomenJD1,NativeAGIJD1,NativePNRJD1,RaceJD1Total,RaceMenJD1,RaceWomenJD1,RaceAGIJD1,RacePNRJD1,SubTotalJD1Total,SubTotalMenJD1,SubTotalWomenJD1,SubTotalAGIJD1,SubTotalPNRJD1,WhiteJD1Total,WhiteMenJD1,WhiteWomenJD1,WhiteAGIJD1,WhitePNRJD1,NRJD1Total,NRMenJD1,NRWomenJD1,NRAGIJD1,NRPNRJD1,UnknownRaceJD1Total,UnknownRaceMenJD1,UnknownRaceWomenJD1,UnknownRaceAGIJD1,UnknownRacePNRJD1,TotalJD1Total,TotalMenJD1,TotalWomenJD1,TotalAGIJD1,TotalPNRJD1,OtherHispJD2Total,OtherHispMenJD2,OtherHispWomenJD2,OtherHispAGIJD2,OtherHispPNRJD2,AmericanIndianJD2Total,AmericanIndianMenJD2,AmericanIndianWomenJD2,AmericanIndianAGIJD2,AmericanIndianPNRJD2,AsianJD2Total,AsianMenJD2,AsianWomenJD2,AsianAGIJD2,AsianPNRJD2,BlackJD2Total,BlackMenJD2,BlackWomenJD2,BlackAGIJD2,BlackPNRJD2,NativeJD2Total,NativeMenJD2,NativeWomenJD2,NativeAGIJD2,NativePNRJD2,RaceJD2Total,RaceMenJD2,RaceWomenJD2,RaceAGIJD2,RacePNRJD2,SubTotalJD2Total,SubTotalMenJD2,SubTotalWomenJD2,SubTotalAGIJD2,SubTotalPNRJD2,WhiteJD2Total,WhiteMenJD2,WhiteWomenJD2,WhiteAGIJD2,WhitePNRJD2,NRJD2Total,NRMenJD2,NRWomenJD2,NRAGIJD2,NRPNRJD2,UnknownRaceJD2Total,UnknownRaceMenJD2,UnknownRaceWomenJD2,UnknownRaceAGIJD2,UnknownRacePNRJD2,TotalJD2Total,TotalMenJD2,TotalWomenJD2,TotalAGIJD2,TotalPNRJD2,OtherHispJD3Total,OtherHispMenJD3,OtherHispWomenJD3,OtherHispAGIJD3,OtherHispPNRJD3,AmericanIndianJD3Total,AmericanIndianMenJD3,AmericanIndianWomenJD3,AmericanIndianAGIJD3,AmericanIndianPNRJD3,AsianJD3Total,AsianMenJD3,AsianWomenJD3,AsianAGIJD3,AsianPNRJD3,BlackJD3Total,BlackMenJD3,BlackWomenJD3,BlackAGIJD3,BlackPNRJD3,NativeJD3Total,NativeMenJD3,NativeWomenJD3,NativeAGIJD3,NativePNRJD3,RaceJD3Total,RaceMenJD3,RaceWomenJD3,RaceAGIJD3,RacePNRJD3,SubTotalJD3Total,SubTotalMenJD3,SubTotalWomenJD3,SubTotalAGIJD3,SubTotalPNRJD3,WhiteJD3Total,WhiteMenJD3,WhiteWomenJD3,WhiteAGIJD3,WhitePNRJD3,NRJD3Total,NRMenJD3,NRWomenJD3,NRAGIJD3,NRPNRJD3,UnknownRaceJD3Total,UnknownRaceMenJD3,UnknownRaceWomenJD3,UnknownRaceAGIJD3,UnknownRacePNRJD3,TotalJD3Total,TotalMenJD3,TotalWomenJD3,TotalAGIJD3,TotalPNRJD3,OtherHispJD4Total,OtherHispMenJD4,OtherHispWomenJD4,OtherHispAGIJD4,OtherHispPNRJD4,AmericanIndianJD4Total,AmericanIndianMenJD4,AmericanIndianWomenJD4,AmericanIndianAGIJD4,AmericanIndianPNRJD4,AsianJD4Total,AsianMenJD4,AsianWomenJD4,AsianAGIJD4,AsianPNRJD4,BlackJD4Total,BlackMenJD4,BlackWomenJD4,BlackAGIJD4,BlackPNRJD4,NativeJD4Total,NativeMenJD4,NativeWomenJD4,NativeAGIJD4,NativePNRJD4,RaceJD4Total,RaceMenJD4,RaceWomenJD4,RaceAGIJD4,RacePNRJD4,SubTotalJD4Total,SubTotalMenJD4,SubTotalWomenJD4,SubTotalAGIJD4,SubTotalPNRJD4,WhiteJD4Total,WhiteMenJD4,WhiteWomenJD4,WhiteAGIJD4,WhitePNRJD4,NRJD4Total,NRMenJD4,NRWomenJD4,NRAGIJD4,NRPNRJD4,UnknownRaceJD4Total,UnknownRaceMenJD4,UnknownRaceWomenJD4,UnknownRaceAGIJD4,UnknownRacePNRJD4,TotalJD4Total,TotalMenJD4,TotalWomenJD4,TotalAGIJD4,TotalPNRJD4,OtherHispGrandTotal,AmericanIndianGrandTotal,AsianGrandTotal,BlackGrandTotal,NativeGrandTotal,RaceGrandTotal,SubTotalGrandTotal,WhiteGrandTotal,NRGrandTotal,UnknownRaceGrandTotal,TotalGrandTotal,Hispanic JD Degrees Awd,Amer Indian JD Degrees Awd,Asian JD Degrees Awd,Black or African American JD Degrees Awd,Native Hawaiian Pacific Islander JD Degrees Awd,Two or More Races JD Degrees Awd,Minority Degrees Awd,White JD Degrees Awd,Nonresident Alien JD Degrees Awd,Race Unk JD Degrees Awd,Total Degrees Awarded,UnknownJD1Total,UnknownMenJD1,UnknownWomenJD1,UnknownAGIJD1,UnknownPNRJD1,UnknownJD2Total,UnknownMenJD2,UnknownWomenJD2,UnknownAGIJD2,UnknownPNRJD2,UnknownJD3Total,UnknownMenJD3,UnknownWomenJD3,UnknownAGIJD3,UnknownPNRJD3,UnknownJD4Total,UnknownMenJD4,UnknownWomenJD4,UnknownAGIJD4,UnknownPNRJD4,UnknownGrandTotal,Total People of Color JD Degrees Awd,Race and Ethnicity Unknown JD Degrees Awd,HispJD1Total,HispMenJD1,HispWomenJD1,HispAGIJD1,HispPNRJD1,HispJD2Total,HispMenJD2,HispWomenJD2,HispAGIJD2,HispPNRJD2,HispJD3Total,HispMenJD3,HispWomenJD3,HispAGIJD3,HispPNRJD3,HispJD4Total,HispMenJD4,HispWomenJD4,HispAGIJD4,HispPNRJD4,HispGrandTotal,MultiracialJD1Total,MultiracialMenJD1,MultiracialWomenJD1,MultiracialAGIJD1,MultiracialPNRJD1,MultiracialJD2Total,MultiracialMenJD2,MultiracialWomenJD2,MultiracialAGIJD2,MultiracialPNRJD2,MultiracialJD3Total,MultiracialMenJD3,MultiracialWomenJD3,MultiracialAGIJD3,MultiracialPNRJD3,MultiracialJD4Total,MultiracialMenJD4,MultiracialWomenJD4,MultiracialAGIJD4,MultiracialPNRJD4,MultiracialGrandTotal,Multiracial JD Degrees Awd
,2022,"AKRON, UNIVERSITY OF",7.0,2.0,5.0,0.0,0.0,1,1,0,0,0,9,4,5,0,0,11,6,5,0,0,1,1,0,0,0,4.0,2.0,2.0,0.0,0.0,33,16,17,0,0,109,55,54,0,0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,148,75,73,0,0,6.0,3.0,3.0,0.0,0.0,0,0,0,0,0,4,1,3,0,0,9,4,5,0,0,0,0,0,0,0,4.0,0.0,4.0,0.0,0.0,23,8,15,0,0,114,57,57,0,0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,142,69,73,0,0,5.0,4.0,1.0,0.0,0.0,0,0,0,0,0,7,5,2,0,0,8,4,4,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,21,13,8,0,0,92,42,50,0,0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,120,59,61,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,3,2,1,0,0,17,8,9,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,21,11,10,0,0,18.0,1,20,30,1,10.0,80,332,2.0,17.0,431,3.0,0.0,2.0,4.0,0.0,4.0,13.0,86.0,0.0,10.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ALABAMA, UNIVERSITY OF",13.0,8.0,5.0,0.0,0.0,0,0,0,0,0,3,2,1,0,0,14,4,10,0,0,0,0,0,0,0,9.0,5.0,4.0,0.0,0.0,39,19,20,0,0,107,56,51,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,149,77,72,0,0,6.0,4.0,2.0,0.0,0.0,0,0,0,0,0,3,1,2,0,0,17,6,11,0,0,0,0,0,0,0,5.0,2.0,3.0,0.0,0.0,31,13,18,0,0,116,62,54,0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,151,76,75,0,0,9.0,3.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,9,3,6,0,0,0,0,0,0,0,5.0,4.0,0.0,1.0,0.0,24,11,12,1,0,96,47,49,0,0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,125,60,64,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,28.0,0,7,40,0,19.0,94,319,0.0,12.0,425,6.0,0.0,4.0,14.0,0.0,1.0,25.0,101.0,0.0,6.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,ALBANY LAW SCHOOL,15.0,5.0,10.0,0.0,0.0,0,0,0,0,0,11,4,7,0,0,15,4,11,0,0,0,0,0,0,0,5.0,2.0,3.0,0.0,0.0,46,15,31,0,0,146,67,77,1,1,1.0,0.0,1.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,201,84,115,1,1,12.0,5.0,7.0,0.0,0.0,1,0,1,0,0,13,6,7,0,0,13,3,10,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,40,14,26,0,0,155,69,86,0,0,2.0,0.0,2.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,202,86,116,0,0,16.0,6.0,10.0,0.0,0.0,0,0,0,0,0,7,3,4,0,0,4,2,2,0,0,0,0,0,0,0,7.0,3.0,4.0,0.0,0.0,34,14,20,0,0,118,64,54,0,0,8.0,3.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,163,83,80,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,43.0,1,31,32,0,13.0,120,419,11.0,16.0,566,13.0,0.0,5.0,11.0,0.0,5.0,34.0,122.0,1.0,7.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,AMERICAN UNIVERSITY,54.0,18.0,36.0,0.0,0.0,0,0,0,0,0,33,7,26,0,0,28,4,24,0,0,0,0,0,0,0,21.0,6.0,15.0,0.0,0.0,136,35,101,0,0,238,92,146,0,0,7.0,3.0,4.0,0.0,0.0,22.0,11.0,11.0,0.0,0.0,403,141,262,0,0,61.0,26.0,35.0,0.0,0.0,0,0,0,0,0,28,9,19,0,0,19,2,17,0,0,2,2,0,0,0,18.0,5.0,13.0,0.0,0.0,128,44,84,0,0,231,77,154,0,0,13.0,3.0,10.0,0.0,0.0,17.0,7.0,10.0,0.0,0.0,389,131,258,0,0,54.0,15.0,39.0,0.0,0.0,1,0,1,0,0,27,6,21,0,0,26,7,19,0,0,0,0,0,0,0,21.0,8.0,13.0,0.0,0.0,129,36,93,0,0,192,58,134,0,0,6.0,1.0,5.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0,334,100,234,0,0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.0,0.0,6,2,4,0,0,34,15,19,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41,17,24,0,0,171.0,1,89,74,2,62.0,399,695,26.0,47.0,1167,38.0,0.0,21.0,30.0,0.0,31.0,120.0,183.0,12.0,6.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,APPALACHIAN SCHOOL OF LAW,4.0,2.0,2.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,6,3,0,0,44,22,22,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,56,29,27,0,0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,1,4,0,0,32,18,14,0,0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,41,22,19,0,0,4.0,2.0,2.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,4,4,0,0,41,25,16,0,0,2.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,55,32,23,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.0,1,1,11,0,0.0,22,117,4.0,9.0,152,6.0,1.0,0.0,4.0,0.0,0.0,11.0,25.0,1.0,3.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,ARIZONA STATE UNIVERSITY,36.0,18.0,18.0,0.0,0.0,5,1,4,0,0,25,9,15,0,1,10,4,6,0,0,2,0,2,0,0,20.0,4.0,16.0,0.0,0.0,98,36,61,0,1,178,82,93,0,3,9.0,4.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,289,124,161,0,4,33.0,21.0,12.0,0.0,0.0,5,1,4,0,0,17,8,9,0,0,13,6,7,0,0,1,1,0,0,0,19.0,5.0,14.0,0.0,0.0,88,42,46,0,0,189,98,89,1,1,9.0,5.0,4.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,291,147,142,1,1,43.0,28.0,15.0,0.0,0.0,7,2,5,0,0,12,6,6,0,0,3,2,1,0,0,1,0,1,0,0,21.0,11.0,10.0,0.0,0.0,87,49,38,0,0,176,87,89,0,0,6.0,2.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,273,142,130,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,112.0,17,54,26,4,60.0,273,543,24.0,13.0,853,33.0,7.0,13.0,6.0,0.0,18.0,77.0,178.0,10.0,9.0,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ARIZONA, UNIVERSITY OF",29.0,12.0,17.0,0.0,0.0,7,1,6,0,0,6,2,4,0,0,7,2,5,0,0,0,0,0,0,0,5.0,2.0,3.0,0.0,0.0,54,19,35,0,0,70,32,36,2,0,7.0,1.0,5.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,135,53,78,2,2,18.0,4.0,14.0,0.0,0.0,7,2,5,0,0,5,3,2,0,0,3,2,1,0,0,0,0,0,0,0,5.0,3.0,2.0,0.0,0.0,38,14,24,0,0,75,33,42,0,0,13.0,5.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,128,53,75,0,0,16.0,9.0,7.0,0.0,0.0,4,2,2,0,0,5,2,3,0,0,2,1,1,0,0,0,0,0,0,0,3.0,3.0,0.0,0.0,0.0,30,17,13,0,0,73,35,38,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,55,51,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,63.0,18,16,12,0,13.0,122,218,23.0,6.0,369,14.0,6.0,5.0,2.0,0.0,6.0,33.0,99.0,13.0,0.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",13.0,5.0,8.0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0,9.0,3.0,6.0,0.0,0.0,35,14,21,0,0,87,45,42,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,123,60,63,0,0,12.0,5.0,7.0,0.0,0.0,1,1,0,0,0,3,2,1,0,0,8,3,5,0,0,0,0,0,0,0,9.0,7.0,2.0,0.0,0.0,33,18,15,0,0,91,41,50,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,127,61,66,0,0,10.0,6.0,4.0,0.0,0.0,1,1,0,0,0,1,0,1,0,0,6,2,4,0,0,0,0,0,0,0,8.0,4.0,4.0,0.0,0.0,26,13,13,0,0,91,47,44,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,118,61,57,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,35.0,4,4,25,0,26.0,94,269,0.0,5.0,368,6.0,4.0,1.0,6.0,0.0,2.0,19.0,97.0,0.0,2.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",12.0,4.0,8.0,0.0,0.0,2,0,2,0,0,5,0,5,0,0,13,7,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,32,11,21,0,0,113,56,57,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,147,69,78,0,0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,1,1,0,0,0,14,4,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17,6,11,0,0,128,62,66,0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,149,69,80,0,0,13.0,4.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20,7,13,0,0,104,50,54,0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,128,59,69,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,2,2,0,0,13,8,5,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18,10,8,0,0,26.0,4,6,37,0,0.0,73,358,0.0,11.0,442,4.0,4.0,7.0,7.0,0.0,0.0,22.0,115.0,0.0,9.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,ATLANTA'S JOHN MARSHALL LAW SCHOOL,21.0,6.0,15.0,0.0,0.0,0,0,0,0,0,13,3,10,0,0,56,15,41,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,90,24,66,0,0,40,17,23,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,132,42,90,0,0,12.0,6.0,6.0,0.0,0.0,3,0,3,0,0,9,4,5,0,0,39,9,30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,63,19,44,0,0,29,12,17,0,0,3.0,1.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,100,36,64,0,0,12.0,3.0,9.0,0.0,0.0,3,2,1,0,0,4,0,4,0,0,35,13,22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,54,18,36,0,0,28,14,14,0,0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,85,33,52,0,0,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11,3,8,0,0,9,3,6,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,23,8,15,0,0,47.0,6,26,139,0,0.0,218,106,4.0,12.0,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
