SchoolName,SchoolYear,School List,FT Male,NONFT Male,Total Male,FT Female,NonFT Female,Total Female,FT Other,NonFT Other,Total Other,FT People of Color,NonFT People of Color,Total People of Color,Total FT,Total NonFT,Total,FullTimeLibrarians,PartTimeLibrarians,TotalLibrarians,FTMale,FTFemale,FTAGI,FTPNR,FTPOC,FTTotal,NONFTMale,NONFTFemale,NONFTAGI,NONFTPNR,NONFTPOC,NONFTTotal,MaleTotal,FemaleTotal,AGITotal,PNRTotal,POCTotal,TotalFaculties,FTLibrarians,PTLibrarians
,2022,"AKRON, UNIVERSITY OF",15.0,22.0,37.0,8.0,12.0,20.0,0.0,0.0,0.0,3.0,1.0,4.0,23.0,34.0,57.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,"ALABAMA, UNIVERSITY OF",23.0,40.0,63.0,18.0,15.0,33.0,0.0,0.0,0.0,10.0,7.0,17.0,41.0,55.0,96.0,6.0,1.0,7,,,,,,,,,,,,,,,,,,,,
,2022,ALBANY LAW SCHOOL,21.0,29.0,50.0,23.0,17.0,40.0,0.0,1.0,1.0,11.0,3.0,14.0,44.0,47.0,91.0,6.0,1.0,7,,,,,,,,,,,,,,,,,,,,
,2022,AMERICAN UNIVERSITY,27.0,99.0,126.0,44.0,89.0,133.0,0.0,0.0,0.0,19.0,34.0,53.0,71.0,188.0,259.0,7.0,1.0,8,,,,,,,,,,,,,,,,,,,,
,2022,APPALACHIAN SCHOOL OF LAW,8.0,6.0,14.0,5.0,2.0,7.0,0.0,3.0,3.0,0.0,2.0,2.0,13.0,11.0,24.0,3.0,1.0,4,,,,,,,,,,,,,,,,,,,,
,2022,ARIZONA STATE UNIVERSITY,39.0,110.0,149.0,28.0,40.0,68.0,0.0,0.0,0.0,16.0,23.0,39.0,67.0,150.0,217.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,"ARIZONA, UNIVERSITY OF",20.0,63.0,83.0,32.0,41.0,73.0,0.0,0.0,0.0,16.0,18.0,34.0,52.0,104.0,156.0,9.0,1.0,10,,,,,,,,,,,,,,,,,,,,
,2022,"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",15.0,17.0,32.0,21.0,9.0,30.0,0.0,0.0,0.0,5.0,1.0,6.0,36.0,26.0,62.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",13.0,33.0,46.0,16.0,25.0,41.0,0.0,0.0,0.0,6.0,7.0,13.0,29.0,58.0,87.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,ATLANTA'S JOHN MARSHALL LAW SCHOOL,8.0,9.0,17.0,7.0,11.0,18.0,0.0,0.0,0.0,1.0,6.0,7.0,15.0,20.0,35.0,3.0,0.0,3,,,,,,,,,,,,,,,,,,,,
,2022,AVE MARIA SCHOOL OF LAW,14.0,6.0,20.0,9.0,4.0,13.0,0.0,0.0,0.0,2.0,1.0,3.0,23.0,10.0,33.0,4.0,1.0,5,,,,,,,,,,,,,,,,,,,,
,2022,"BALTIMORE, UNIVERSITY OF",30.0,61.0,91.0,29.0,41.0,70.0,0.0,0.0,0.0,14.0,12.0,26.0,59.0,102.0,161.0,7.0,0.0,7,,,,,,,,,,,,,,,,,,,,
,2022,BARRY UNIVERSITY,11.0,26.0,37.0,17.0,15.0,32.0,0.0,0.0,0.0,11.0,9.0,20.0,28.0,41.0,69.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
,2022,BAYLOR UNIVERSITY,18.0,100.0,118.0,12.0,46.0,58.0,0.0,0.0,0.0,3.0,14.0,17.0,30.0,146.0,176.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,BELMONT UNIVERSITY,14.0,23.0,37.0,7.0,10.0,17.0,0.0,0.0,0.0,5.0,4.0,9.0,21.0,33.0,54.0,2.0,0.0,2,,,,,,,,,,,,,,,,,,,,
,2022,BOSTON COLLEGE,30.0,56.0,86.0,36.0,54.0,90.0,0.0,0.0,0.0,13.0,13.0,26.0,67.0,110.0,177.0,11.0,0.0,11,,,,,,,,,,,,,,,,,,,,
,2022,BOSTON UNIVERSITY,35.0,72.0,107.0,38.0,50.0,88.0,0.0,0.0,0.0,12.0,6.0,18.0,73.0,123.0,196.0,12.0,0.0,12,,,,,,,,,,,,,,,,,,,,
