cohort,schoolid,schoolname,bar_ftlt,bar_ftst,bar_ptlt,bar_ptst,bar_emp,jda_ftlt,jda_ftst,jda_ptlt,jda_ptst,jda_emp,prof_ftlt,prof_ftst,prof_ptlt,prof_ptst,prof_emp,nprof_ftlt,nprof_ftst,nprof_ptlt,nprof_ptst,nprof_emp,undet_ftlt,undet_ftst,undet_ptlt,undet_ptst,undet_emp,lawfund_emp,gradsch_ft,emp_def,unemp_ns,unemp_seek,emp_stat_unk,total_grads,lt_emp,solo_ftlt,solo_ftst,solo_ptlt,solo_ptst,solo_emp,sz_1_10_ftlt,sz_1_10_ftst,sz_1_10_ptlt,sz_1_10_ptst,sz_1_10_emp,sz_11_25_ftlt,sz_11_25_ftst,sz_11_25_ptlt,sz_11_25_ptst,sz_11_25_emp,sz_26_50_ftlt,sz_26_50_ftst,sz_26_50_ptlt,sz_26_50_ptst,sz_26_50_emp,sz_51_100_ftlt,sz_51_100_ftst,sz_51_100_ptlt,sz_51_100_ptst,sz_51_100_emp,sz_101_250_ftlt,sz_101_250_ftst,sz_101_250_ptlt,sz_101_250_ptst,sz_101_250_emp,sz_251_500_ftlt,sz_251_500_ftst,sz_251_500_ptlt,sz_251_500_ptst,sz_251_500_emp,sz_501up_ftlt,sz_501up_ftst,sz_501up_ptlt,sz_501up_ptst,sz_501up_emp,sz_unk_ftlt,sz_unk_ftst,sz_unk_ptlt,sz_unk_ptst,sz_unk_emp,bsind_ftlt,bsind_ftst,bsind_ptlt,bsind_ptst,bsind_emp,gov_ftlt,gov_ftst,gov_ptlt,gov_ptst,gov_emp,pub_ftlt,pub_ftst,pub_ptlt,pub_ptst,pub_emp,fedclk_ftlt,fedclk_ftst,fedclk_ptlt,fedclk_ptst,fedclk_emp,locclk_ftlt,locclk_ftst,locclk_ptlt,locclk_ptst,locclk_emp,othclk_ftlt,acad_ftlt,acad_ftst,acad_ptlt,acad_ptst,acad_emp,unk_ftlt,unk_ftst,unk_ptlt,unk_ptst,unk_emp,total_ftlt,total_ftst,total_ptlt,total_ptst,total_emp_type,fundbar_ftlt,fundbar_ftst,fundbar_ptlt,fundbar_ptst,fundbar_emp,fundjda_ftlt,fundjda_ftst,fundjda_ptlt,fundjda_ptst,fundjda_emp,fundprof_ftlt,fundprof_ftst,fundprof_ptlt,fundprof_ptst,fundprof_emp,fundnprof_ftlt,fundnprof_ftst,fundnprof_ptlt,fundnprof_ptst,fundnprof_emp,funded_emp,state_emp1,state_emp1_num,state_emp2,state_emp2_num,state_emp3,state_emp3_num,foreign_emp_num
2023,114,"AKRON, THE UNIVERSITY OF",83.0,1.0,0.0,0.0,84.0,21,0,4,0,25,2,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,3,2,119,111,2,0,0,0,2,22,0,2,0,24,12,0,0,0,12,7,0,0,0,7,6,0,0,0,6,3,0,0,0,3,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,19,1,1,0,21,17,0,1,0,18,11,0,1,0,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,2,0,0,0,2,0,0,0,0,0,106,1,5,0,112,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,OHIO,91.0,NEW YORK,3.0,DISTRICT OF COLUMBIA,2.0,0.0
2023,2,"ALABAMA, THE UNIVERSITY OF",110.0,0.0,0.0,0.0,110.0,6,0,0,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,5,0,123,116,0,0,0,0,0,18,0,0,0,18,4,0,0,0,4,4,0,0,0,4,5,0,0,0,5,8,0,0,0,8,12,0,0,0,12,20,0,0,0,20,0,0,0,0,0,4,0,0,0,4,16,0,0,0,16,9,0,0,0,9,10,0,0,0,10,4.0,0.0,0.0,0.0,4.0,,2,0,0,0,2,0,0,0,0,0,116,0,0,0,116,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,ALABAMA,58.0,GEORGIA,10.0,FLORIDA,8.0,0.0
2023,97,ALBANY LAW SCHOOL,147.0,0.0,0.0,0.0,147.0,4,2,0,0,6,2,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,2,165,153,1,0,0,0,1,28,0,0,0,28,19,0,0,0,19,10,0,0,0,10,3,0,0,0,3,8,0,0,0,8,5,0,0,0,5,4,0,0,0,4,0,0,0,0,0,5,0,0,1,6,46,2,0,0,48,12,0,0,0,12,0,0,0,0,0,12.0,0.0,0.0,0.0,12.0,,0,0,0,0,0,0,0,0,0,0,153,2,0,1,156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,NEW YORK,134.0,DISTRICT OF COLUMBIA,3.0,MASSACHUSETTS,3.0,1.0
2023,27,AMERICAN UNIVERSITY,248.0,2.0,0.0,0.0,250.0,23,1,2,3,29,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,2,5,0,22,1,313,275,0,0,0,0,0,26,0,2,2,30,9,0,0,0,9,13,0,0,0,13,8,0,0,0,8,8,0,0,0,8,9,0,0,0,9,35,0,0,0,35,0,0,0,0,0,20,0,0,1,21,55,0,0,0,55,36,1,0,0,37,7,0,0,0,7,47.0,2.0,0.0,0.0,49.0,,2,0,0,0,2,0,0,0,0,0,275,3,2,3,283,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,DISTRICT OF COLUMBIA,146.0,MARYLAND,39.0,NEW YORK,25.0,2.0
2023,191,APPALACHIAN SCHOOL OF LAW,35.0,0.0,0.0,0.0,35.0,5,0,0,0,5,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,11,54,40,2,0,0,0,2,13,0,0,0,13,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,6,0,0,0,6,8,0,0,0,8,0,0,0,0,0,4.0,0.0,0.0,0.0,4.0,,1,0,0,0,1,0,0,0,0,0,40,0,0,1,41,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,VIRGINIA,14.0,WEST VIRGINIA,9.0,FLORIDA,3.0,0.0
2023,4,"ARIZONA, THE UNIVERSITY OF",87.0,1.0,0.0,0.0,88.0,16,0,0,0,16,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,3,1,114,104,0,0,0,0,0,26,0,0,0,26,11,0,0,0,11,0,0,0,0,0,1,0,0,0,1,4,0,0,0,4,2,0,0,0,2,10,0,0,0,10,0,0,0,0,0,7,0,0,0,7,15,0,0,0,15,9,0,0,0,9,5,0,0,0,5,12.0,1.0,0.0,0.0,13.0,,2,1,0,0,3,0,0,0,0,0,104,2,0,0,106,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,ARIZONA,82.0,CALIFORNIA,7.0,NEW YORK,3.0,3.0
2023,3,ARIZONA STATE UNIVERSITY,211.0,1.0,2.0,1.0,215.0,19,0,0,1,20,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,3,2,12,1,259,234,1,0,1,0,2,40,0,1,1,42,12,0,0,0,12,8,0,0,0,8,8,0,0,0,8,7,0,0,0,7,11,0,0,0,11,25,0,0,0,25,0,0,0,0,0,18,0,0,0,18,34,0,0,0,34,21,0,0,0,21,7,0,0,0,7,32.0,0.0,0.0,0.0,32.0,,8,1,0,0,9,0,0,0,1,1,232,1,2,2,237,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,ARIZONA,166.0,CALIFORNIA,16.0,DISTRICT OF COLUMBIA,7.0,0.0
2023,5,"ARKANSAS, UNIVERSITY OF",85.0,1.0,2.0,0.0,88.0,7,0,6,0,13,1,1,1,0,3,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,7,0,4,1,1,118,102,0,0,0,0,0,21,0,4,0,25,8,0,0,0,8,7,0,0,0,7,5,0,0,0,5,2,0,0,0,2,2,0,0,0,2,6,0,0,0,6,1,0,0,0,1,13,2,3,0,18,16,0,1,0,17,8,0,1,0,9,3,1,0,0,4,1.0,0.0,0.0,0.0,1.0,,0,0,0,0,0,0,0,0,0,0,93,3,9,0,105,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,ARKANSAS,70.0,TEXAS,10.0,MISSOURI,9.0,1.0
2023,6,"ARKANSAS AT LITTLE ROCK, UNIVERSITY OF",77.0,0.0,3.0,0.0,80.0,14,0,2,0,16,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,2,5,9,0,122,99,2,0,0,0,2,30,0,2,0,32,6,0,0,0,6,1,0,0,0,1,10,0,0,0,10,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,10,0,0,0,10,18,0,0,0,18,9,0,3,0,12,1,0,0,0,1,2.0,0.0,0.0,0.0,2.0,,1,0,0,0,1,0,0,0,0,0,94,0,5,0,99,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,ARKANSAS,75.0,TEXAS,8.0,MISSOURI,4.0,0.0
2023,222,ATLANTA'S JOHN MARSHALL LAW SCHOOL,40.0,0.0,3.0,2.0,45.0,12,0,2,0,14,3,0,0,0,3,1.0,0.0,0.0,0.0,1.0,1,0,4,0,5,0,0,0,2,13,3,86,66,1,0,2,0,3,18,0,5,0,23,4,0,0,1,5,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,1,0,1,0,2,9,0,1,0,10,7,0,0,0,7,8,0,0,1,9,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,,1,0,0,0,1,0,0,0,0,0,57,0,9,2,68,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,GEORGIA,57.0,CALIFORNIA,2.0,DISTRICT OF COLUMBIA,2.0,0.0
