School Name,SchoolYear,Graduate Year,Total Graduates,Graduates who did not take the bar,Graduates with No Information,First Time Takers from Prior Years,Total First Time Takers,Total First Time Passers,Grads Admitted via Alternative Pathways,AvgSchoolPassPercent*,AvgStatePassPercent**,TotalDifferencePercent***,Pass % including Grads Admitted via Alternative Pathways,Graduates In 2022,Graduates who did not take the bar in 2022,Number of Early-Takers,Grads Admitted via Diploma Privilege,Pass % including Grads Admitted via Diploma Privilege,Graduates In 2023,Graduates who did not take the bar in 2023,Graduates who took bar exam before graduation,Graduates who took bar exam after graduation,Graduates In 2024,Graduates who did not take the bar in 2024
"AKRON, UNIVERSITY OF",2022,2021.0,126.0,42.0,0.0,54.0,138.0,94.0,0.0,68.11%,79.22%,-11.11%,68.12%,,,,,,,,,,,
"ALABAMA, UNIVERSITY OF",2022,2021.0,118.0,15.0,1.0,10.0,112.0,100.0,0.0,89.29%,78.79%,10.50%,89.29%,,,,,,,,,,,
ALBANY LAW SCHOOL,2022,2021.0,158.0,29.0,4.0,45.0,170.0,144.0,0.0,84.71%,85.60%,-0.89%,84.71%,,,,,,,,,,,
AMERICAN UNIVERSITY,2022,2021.0,407.0,36.0,14.0,70.0,427.0,341.0,0.0,79.86%,78.56%,1.30%,79.86%,,,,,,,,,,,
APPALACHIAN SCHOOL OF LAW,2022,2021.0,53.0,12.0,0.0,12.0,53.0,18.0,0.0,33.96%,73.89%,-39.93%,33.96%,,,,,,,,,,,
ARIZONA STATE UNIVERSITY,2022,2021.0,269.0,27.0,5.0,47.0,284.0,248.0,0.0,87.33%,77.49%,9.84%,87.32%,,,,,,,,,,,
"ARIZONA, UNIVERSITY OF",2022,2021.0,129.0,24.0,1.0,11.0,115.0,91.0,0.0,79.13%,77.37%,1.76%,79.13%,,,,,,,,,,,
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2022,2021.0,105.0,9.0,6.0,17.0,107.0,85.0,0.0,79.44%,76.64%,2.80%,79.44%,,,,,,,,,,,
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2022,2021.0,124.0,13.0,0.0,20.0,131.0,97.0,0.0,74.05%,75.85%,-1.80%,74.05%,,,,,,,,,,,
ATLANTA'S JOHN MARSHALL LAW SCHOOL,2022,2021.0,73.0,14.0,7.0,17.0,69.0,46.0,0.0,66.67%,78.16%,-11.49%,66.67%,,,,,,,,,,,
